ID,Date,IUCR,CrimeType,Location Description,Arrest,Domestic,Ward,Community Area,FBI Code,Year,Updated On,Latitude,Longitude,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats,OnlyDate,Time,time_hour,hourofday,sin_time,cos_time,XAxis,YAxis
11859545,10/12/2019 10:30:00 PM,486,BATTERY,RESIDENCE,0,1,28.0,28.0,08B,2019,10/19/2019 04:04:21 PM,41.878096523,-87.65702918,14917.0,29.0,91.0,26.0,44.0,15.0,95.0,2019-10-12,10:30:00 PM,22:30:00,22,-0.2697967711570252,0.9629172873477991,1168429.0,1898894.0
11859335,10/12/2019 10:30:00 PM,820,THEFT,STREET,0,0,37.0,25.0,06,2019,10/19/2019 04:04:21 PM,41.898530871,-87.761707745,4299.0,26.0,562.0,45.0,5.0,25.0,67.0,2019-10-12,10:30:00 PM,22:30:00,22,-0.2697967711570252,0.9629172873477991,1139872.0,1906133.0
11859146,10/12/2019 10:20:00 PM,1310,CRIMINAL DAMAGE,RESIDENCE,0,1,18.0,70.0,14,2019,10/19/2019 04:04:21 PM,41.739475375,-87.72280471399998,4300.0,69.0,197.0,30.0,8.0,13.0,232.0,2019-10-12,10:20:00 PM,22:20:00,22,-0.2697967711570252,0.9629172873477991,1150875.0,1848247.0
11859087,10/12/2019 10:20:00 PM,486,BATTERY,RESIDENCE,0,0,27.0,23.0,08B,2019,10/19/2019 04:04:21 PM,41.890862169,-87.711298365,21572.0,24.0,584.0,46.0,30.0,16.0,65.0,2019-10-12,10:20:00 PM,22:20:00,22,-0.2697967711570252,0.9629172873477991,1153616.0,1903434.0
11859114,10/12/2019 10:19:00 PM,460,BATTERY,OTHER,0,0,33.0,21.0,08B,2019,10/19/2019 04:04:21 PM,41.939392145999996,-87.69794801299999,21538.0,22.0,425.0,20.0,39.0,1.0,23.0,2019-10-12,10:19:00 PM,22:19:00,22,-0.2697967711570252,0.9629172873477991,1157120.0,1921145.0
11858968,10/12/2019 10:13:00 PM,2024,NARCOTICS,STREET,1,0,25.0,28.0,18,2019,10/19/2019 04:04:21 PM,41.875274266,-87.642995892,14917.0,29.0,97.0,26.0,44.0,22.0,147.0,2019-10-12,10:13:00 PM,22:13:00,22,-0.2697967711570252,0.9629172873477991,1172259.0,1897896.0
11859095,10/12/2019 10:13:00 PM,910,MOTOR VEHICLE THEFT,GAS STATION,1,0,32.0,22.0,07,2019,10/19/2019 04:04:21 PM,41.924903583,-87.687295639,22535.0,23.0,240.0,41.0,1.0,7.0,180.0,2019-10-12,10:13:00 PM,22:13:00,22,-0.2697967711570252,0.9629172873477991,1160058.0,1915887.0
11859016,10/12/2019 10:07:00 PM,486,BATTERY,STREET,0,1,24.0,29.0,08B,2019,10/19/2019 04:04:21 PM,41.861972438,-87.71773114,21569.0,30.0,33.0,14.0,57.0,21.0,155.0,2019-10-12,10:07:00 PM,22:07:00,22,-0.2697967711570252,0.9629172873477991,1151940.0,1892894.0
11858988,10/12/2019 10:05:00 PM,486,BATTERY,APARTMENT,1,0,25.0,28.0,08B,2019,10/19/2019 04:04:21 PM,41.876265763,-87.65186380200001,14917.0,29.0,97.0,26.0,44.0,15.0,95.0,2019-10-12,10:05:00 PM,22:05:00,22,-0.2697967711570252,0.9629172873477991,1169841.0,1898238.0
11859070,10/12/2019 10:05:00 PM,496,BATTERY,APARTMENT,1,1,4.0,38.0,04B,2019,10/19/2019 04:04:21 PM,41.810509719,-87.607821275,4301.0,4.0,165.0,10.0,36.0,24.0,114.0,2019-10-12,10:05:00 PM,22:05:00,22,-0.2697967711570252,0.9629172873477991,1182038.0,1874375.0
11859157,10/12/2019 10:05:00 PM,143,WEAPONS VIOLATION,STREET,1,0,46.0,3.0,15,2019,10/19/2019 04:04:21 PM,41.967298725,-87.653512545,22616.0,31.0,19.0,39.0,15.0,5.0,4.0,2019-10-12,10:05:00 PM,22:05:00,22,-0.2697967711570252,0.9629172873477991,1169129.0,1931407.0
11860201,10/12/2019 10:00:00 PM,820,THEFT,STREET,0,0,28.0,28.0,06,2019,10/19/2019 04:04:21 PM,41.870072584,-87.664096989,14917.0,29.0,758.0,23.0,44.0,15.0,136.0,2019-10-12,10:00:00 PM,22:00:00,22,-0.2697967711570252,0.9629172873477991,1166527.0,1895955.0
11859059,10/12/2019 10:00:00 PM,486,BATTERY,APARTMENT,0,1,24.0,29.0,08B,2019,10/19/2019 04:04:21 PM,41.860229103,-87.71402184,21569.0,30.0,772.0,14.0,57.0,21.0,153.0,2019-10-12,10:00:00 PM,22:00:00,22,-0.2697967711570252,0.9629172873477991,1152955.0,1892266.0
11859284,10/12/2019 10:00:00 PM,620,BURGLARY,RESIDENCE-GARAGE,0,0,22.0,30.0,05,2019,10/19/2019 04:04:21 PM,41.843501111,-87.720866254,21569.0,32.0,227.0,28.0,57.0,21.0,167.0,2019-10-12,10:00:00 PM,22:00:00,22,-0.2697967711570252,0.9629172873477991,1151134.0,1886157.0
11859269,10/12/2019 10:00:00 PM,1305,CRIMINAL DAMAGE,COMMERCIAL / BUSINESS OFFICE,0,0,48.0,77.0,14,2019,10/19/2019 04:04:21 PM,41.982402819,-87.660034754,22616.0,76.0,540.0,16.0,15.0,2.0,54.0,2019-10-12,10:00:00 PM,22:00:00,22,-0.2697967711570252,0.9629172873477991,1167312.0,1936897.0
11859693,10/12/2019 10:00:00 PM,810,THEFT,RESIDENTIAL YARD (FRONT/BACK),0,0,15.0,67.0,06,2019,10/19/2019 04:04:21 PM,41.773297415,-87.665316571,22257.0,65.0,283.0,3.0,23.0,17.0,204.0,2019-10-12,10:00:00 PM,22:00:00,22,-0.2697967711570252,0.9629172873477991,1166469.0,1860688.0
11858982,10/12/2019 09:59:00 PM,1477,WEAPONS VIOLATION,STREET,0,0,6.0,69.0,15,2019,10/19/2019 04:04:21 PM,41.763645421999996,-87.627626009,21559.0,67.0,494.0,32.0,11.0,17.0,210.0,2019-10-12,09:59:00 PM,21:59:00,21,-0.5195839500354336,0.8544194045464886,1176779.0,1857253.0
11859011,10/12/2019 09:58:00 PM,1310,CRIMINAL DAMAGE,COMMERCIAL / BUSINESS OFFICE,0,0,21.0,73.0,14,2019,10/19/2019 04:04:21 PM,41.720794324,-87.643197622,21861.0,72.0,592.0,13.0,13.0,9.0,243.0,2019-10-12,09:58:00 PM,21:58:00,21,-0.5195839500354336,0.8544194045464886,1172656.0,1841604.0
11859023,10/12/2019 09:55:00 PM,143,WEAPONS VIOLATION,"SCHOOL, PUBLIC, GROUNDS",1,0,21.0,73.0,15,2019,10/19/2019 04:04:21 PM,41.721303358,-87.655873595,22212.0,72.0,592.0,13.0,59.0,9.0,244.0,2019-10-12,09:55:00 PM,21:55:00,21,-0.5195839500354336,0.8544194045464886,1169194.0,1841762.0
11860018,10/12/2019 09:48:00 PM,486,BATTERY,APARTMENT,0,1,1.0,24.0,08B,2019,10/19/2019 04:04:21 PM,41.904148369,-87.67558818299999,21560.0,25.0,481.0,41.0,4.0,7.0,200.0,2019-10-12,09:48:00 PM,21:48:00,21,-0.5195839500354336,0.8544194045464886,1163302.0,1908348.0
11860003,10/12/2019 09:47:00 PM,2825,OTHER OFFENSE,RESIDENCE,0,1,27.0,8.0,26,2019,10/19/2019 04:04:21 PM,41.902688796999996,-87.64064724200001,14926.0,37.0,148.0,46.0,54.0,14.0,51.0,2019-10-12,09:47:00 PM,21:47:00,21,-0.5195839500354336,0.8544194045464886,1172818.0,1907891.0
11859363,10/12/2019 09:45:00 PM,810,THEFT,STREET,0,0,20.0,69.0,06,2019,10/19/2019 04:04:21 PM,41.770164905,-87.614632579,22260.0,67.0,480.0,4.0,60.0,18.0,211.0,2019-10-12,09:45:00 PM,21:45:00,21,-0.5195839500354336,0.8544194045464886,1180304.0,1859658.0
11859055,10/12/2019 09:43:00 PM,141,WEAPONS VIOLATION,STREET,1,0,21.0,71.0,15,2019,10/19/2019 04:04:21 PM,41.743261469000004,-87.650454204,21554.0,70.0,530.0,13.0,59.0,20.0,233.0,2019-10-12,09:43:00 PM,21:43:00,21,-0.5195839500354336,0.8544194045464886,1170610.0,1849775.0
11859089,10/12/2019 09:40:00 PM,486,BATTERY,APARTMENT,0,1,24.0,29.0,08B,2019,10/19/2019 04:04:21 PM,41.867039421,-87.728263355,21572.0,30.0,98.0,14.0,30.0,16.0,142.0,2019-10-12,09:40:00 PM,21:40:00,21,-0.5195839500354336,0.8544194045464886,1149058.0,1894720.0
11859012,10/12/2019 09:37:00 PM,3710,INTERFERENCE WITH PUBLIC OFFICER,CTA PLATFORM,0,0,4.0,32.0,24,2019,10/19/2019 04:04:21 PM,41.868165405,-87.62743954,14913.0,38.0,12.0,10.0,35.0,22.0,144.0,2019-10-12,09:37:00 PM,21:37:00,21,-0.5195839500354336,0.8544194045464886,1176517.0,1895340.0
11860524,10/12/2019 09:30:00 PM,31,ROBBERY,STREET,0,0,34.0,53.0,03,2019,10/19/2019 04:04:21 PM,41.658325126,-87.63820014,21861.0,50.0,7.0,22.0,19.0,10.0,218.0,2019-10-12,09:30:00 PM,21:30:00,21,-0.5195839500354336,0.8544194045464886,1174204.0,1818852.0
11859397,10/12/2019 09:30:00 PM,910,MOTOR VEHICLE THEFT,STREET,0,0,22.0,30.0,07,2019,10/19/2019 04:04:21 PM,41.841721850999996,-87.72326131700001,21569.0,32.0,227.0,28.0,57.0,21.0,167.0,2019-10-12,09:30:00 PM,21:30:00,21,-0.5195839500354336,0.8544194045464886,1150486.0,1885504.0
11860501,10/12/2019 09:30:00 PM,1753,OFFENSE INVOLVING CHILDREN,APARTMENT,0,1,15.0,61.0,02,2019,10/19/2019 04:04:21 PM,41.813553744000004,-87.666329066,14924.0,59.0,706.0,3.0,37.0,23.0,108.0,2019-10-12,09:30:00 PM,21:30:00,21,-0.5195839500354336,0.8544194045464886,1166079.0,1875355.0
11859005,10/12/2019 09:30:00 PM,486,BATTERY,RESIDENCE,0,1,15.0,67.0,08B,2019,10/19/2019 04:04:21 PM,41.780499606999996,-87.667881635,22257.0,65.0,276.0,3.0,23.0,17.0,164.0,2019-10-12,09:30:00 PM,21:30:00,21,-0.5195839500354336,0.8544194045464886,1165749.0,1863307.0
11859036,10/12/2019 09:30:00 PM,2820,OTHER OFFENSE,APARTMENT,0,0,16.0,66.0,08A,2019,10/19/2019 04:04:21 PM,41.782079867,-87.698348521,21867.0,64.0,183.0,2.0,58.0,13.0,276.0,2019-10-12,09:30:00 PM,21:30:00,21,-0.5195839500354336,0.8544194045464886,1157435.0,1863820.0
11858965,10/12/2019 09:30:00 PM,460,BATTERY,RESIDENTIAL YARD (FRONT/BACK),0,0,37.0,25.0,08B,2019,10/19/2019 04:04:21 PM,41.893945338,-87.75678656,22216.0,26.0,673.0,45.0,32.0,25.0,67.0,2019-10-12,09:30:00 PM,21:30:00,21,-0.5195839500354336,0.8544194045464886,1141223.0,1904471.0
11859018,10/12/2019 09:27:00 PM,560,ASSAULT,STREET,0,0,42.0,28.0,08A,2019,10/19/2019 04:04:21 PM,41.881849062,-87.641559071,4452.0,29.0,786.0,36.0,45.0,22.0,91.0,2019-10-12,09:27:00 PM,21:27:00,21,-0.5195839500354336,0.8544194045464886,1172631.0,1900295.0
